,SMC Mean,JAC Mean
Most voted on politicians in Danish election 2019,0.47024793388429753,0.8809917355371903
Most sold books in 2020,0.2928420064783701,0.6360064178245994
Universities in the US with the highest average exam grades in 2020,0.4656283110828565,0.7826234371688918
Most sold phone models in 2018,0.40566282202645837,0.598746707837617
Most valuable paintings in 2022,0.5937928782447499,0.6812535993418347
Top-ranking universities in the world according to QS World University Rankings 2021,0.9393939393939393,0.9393939393939393
Most cited scientific paper 2021,0.06114047716988893,0.15732750909221496
Largest countries by inhabitants in 2022,0.9636363636363636,1.0
Fastest lap times on Silverstone of all time,0.3861595979777798,0.7384554839100292
Highest temperatures measured in Germany of all time in celsius,0.20326109719157848,0.45932496944529033
Highest points in Argentina,0.4305633760179213,0.6696091787000878
Largest oceans in the world,1.0,1.0
Cities with the highest population density in 2021,0.32492462083371176,0.4907879998789089
Countries with the highest GDP in 2009,0.8468319559228651,0.8468319559228651
Movies with the highest box office earnings in 2019,1.0,1.0
Largest countries by area,1.0,1.0
Countries with the longest coastline,0.6015702479338843,0.9344352617079891
Best selling video games of all time,0.6369146005509642,0.7691460055096419
Most visited websites in 2021,0.8648230557321468,0.8678533587624496
Largest deserts by area,0.9127272727272725,1.0
Longest rivers in the world,0.6660733206187751,0.7207035388853568
Countries with the highest life expectancy,0.5641873278236915,0.7834710743801652
Most followed Instagram accounts in 2016,0.9074380165289258,0.9074380165289258
Richest people in the world in 1999 according to Forbes,0.36992983398063606,0.5442622439948643
Countries with the largest known oil reserves,1.0,1.0
Most subscribed YouTube channels in 2012,0.25172168740350565,0.5953228589592225
Largest lakes by area,1.0,1.0
Countries with the highest population growth rate in 2005,0.10806973329700603,0.44158533089014373
Most streamed songs on Spotify in 2022,0.483908212999122,0.6116271607180698
Best-selling cars in the 1980s,0.2926875797998793,0.5622676788452189
Countries with the highest number of Nobel Prize winners,0.9404958677685952,0.9404958677685952
Longest reigning monarchs of all time,0.24298695987691205,0.33257375266944644
Best-selling video game consoles of all time,0.9074380165289259,0.9074380165289259
Tallest buildings in the world 2023,1.0,1.0
Most populated cities in the world in 2021,0.8945454545454546,1.0
Countries with the highest CO2 emissions in 2013,0.9127272727272728,1.0
Highest mountains in the world,0.818181818181818,0.818181818181818
Most succesful football clubs in UEFA Champions League history measured by titles won,0.9127272727272725,1.0
Countries with the most Olympic silver medals,0.5705022250476796,0.8117397753761392
Richest companies in the world by market cap in 2021,0.6348596857687768,0.7465928011382559
Most visited countries in 2019,1.0,1.0
Best-selling music artists of all time,0.7098622589531679,0.7702479338842975
Most watched TV shows in spain in 2017,0.17472194472194466,0.5327846841215825
Most popular programming languages in 2021,0.589955499046408,0.7816486543759272
Most voted on politicians in Danish election 2015,0.2212215057669603,0.5692549874368055
Countries with the highest annual military spending,0.9636363636363634,1.0
Longest bridges in Italy,0.08499055382182318,0.2560127179322226
Most common surnames in England by number of registered in 2021,0.7842975206611571,0.8865013774104682
Most spoken languages as mother tongue in USA,0.8745454545454544,1.0
Highest grossing movies in the 1990s,0.4415130324221232,0.7615172706081798
Countries with the lowest military expenditures in 2020,0.1618938681639216,0.31180323569853546
Best-selling albums of all time,0.5571349862258953,0.8325068870523419
Most visited museums in the world,0.4980716253443525,0.8055096418732782
Most popular social media platforms in 2021,0.8818181818181816,1.0
"Most expensive paintings ever sold, give only the titles",0.8563636363636364,0.8667532467532467
"Most translated books in the world, give only the titles",0.2611963793781975,0.5568734296007023
"Most viewed online videos in 2020, give only the titles",0.8975206611570251,0.8975206611570251
Best-selling smartphone brands in 2021,0.5017957799775982,0.6516634880271244
Countries with the highest alcohol consumption per capita in 2020,0.373633437269801,0.5949820826826174
Most watched sports events in 2016,0.19850513123240393,0.3357980668985453
Highest waterfalls in the world,0.8892561983471076,0.8892561983471076
Contries with most railway in the world,1.0,1.0
Most populated countries in the world in 1950,0.746611570247934,0.8523415977961432
Longest reigning popes in history,0.6364968364968365,0.6439560439560439
Most valuable brands in the world in 2021 by market value,0.8666666666666665,0.878787878787879
Largest current living animal species by maximum weight,0.35169241780204347,0.673426365672355
Countries with the most UNESCO World Heritage Sites,1.0,1.0
Most used search engines in 2021,0.5754285108830562,0.6910786183513457
Most given baby names in 2010,0.416969696969697,0.603030303030303
"highest paid actors for one movie, give actors names",0.255573953675558,0.5097414172280481
Countries with the largest diamond production,0.846153846153846,0.9160839160839161
Best-selling board games of all time,0.6687052341597796,0.9052341597796145
Most followed Twitter accounts in 2022,0.6092561983471075,0.9008264462809921
Most streamed artists on Spotify in 2011,0.2560975388248115,0.6315744861199407
Countries with the highest HDI in 2020,0.7024793388429753,0.9404958677685952
Most valuable currencies in the world in 2021,0.9404958677685952,0.9404958677685952
"Highest paid film directors for one movie, give directors names",0.3786007931462478,0.6593467138921685
Most visited national parks the USA,0.8327272727272725,1.0
Largest cities by area,0.5151239669421488,0.7012502648866286
Countries with the largest gold reserves,1.0,1.0
Longest reigning British monarchs,0.7008900190718372,0.7347743165924983
Most subscribed YouTube channels in 2023,0.5461538461538463,0.7840644204280569
Most Grand Slam winning female tennis players in history,0.9636363636363636,1.0
Most densely populated countries in India,0.2110277601186692,0.2894747557849162
"Most awarded movies in Oscar history, give movie titles only",0.6224439197166469,0.7493900039354584
Largest empires in history by land area,0.6921487603305788,0.8892561983471077
Longest novels ever published,0.23568038022583473,0.5104047467683831
Most visited cities in Europe 2020,0.5743250688705235,0.8589531680440772
Largest airlines by fleet size in 2021,0.7200550964187328,0.7840220385674932
TV series shown in most contries of all time,0.17545874802559291,0.4604233556105213
Most populated US states in 2022,1.0,1.0
