,SMC Mean,JAC Mean
Most voted on politicians in Danish election 2019,0.7393388429752066,0.9371900826446281
Most sold books in 2020,0.6585814185814185,0.8073926073926072
Universities in the US with the highest average exam grades in 2020,0.8363636363636362,1.0
Most sold phone models in 2018,0.8578512396694215,0.897520661157025
Most valuable paintings in 2022,0.8503496503496504,0.8738261738261741
Top-ranking universities in the world according to QS World University Rankings 2021,1.0,1.0
Most cited scientific paper 2021,0.13025333401001846,0.2412894592038977
Largest countries by inhabitants in 2022,1.0,1.0
Fastest lap times on Silverstone of all time,0.7089531680440772,0.8892561983471076
Highest temperatures measured in Germany of all time in celsius,0.20693114965842238,0.35515232242504974
Highest points in Argentina,0.6132231404958679,0.8413223140495869
Largest oceans in the world,1.0,1.0
Cities with the highest population density in 2021,0.7003724216959512,0.7580977845683728
Countries with the highest GDP in 2009,0.9669421487603307,0.9669421487603307
Movies with the highest box office earnings in 2019,1.0,1.0
Largest countries by area,1.0,1.0
Countries with the longest coastline,0.6429752066115701,0.9206611570247935
Best selling video games of all time,0.7778554778554779,0.8040262767535498
Most visited websites in 2021,0.9338842975206613,0.9669421487603307
Largest deserts by area,0.9127272727272726,1.0
Longest rivers in the world,0.8644628099173556,0.8644628099173556
Countries with the highest life expectancy,0.9636363636363636,1.0
Most followed Instagram accounts in 2016,0.9074380165289258,0.9074380165289258
Richest people in the world in 1999 according to Forbes,0.7983471074380164,0.8082644628099172
Countries with the largest known oil reserves,1.0,1.0
Most subscribed YouTube channels in 2012,0.503030303030303,0.8077922077922077
Largest lakes by area,1.0,1.0
Countries with the highest population growth rate in 2005,0.33528532073986617,0.6183271274180364
Most streamed songs on Spotify in 2022,0.6989086670904853,0.8100233100233102
Best-selling cars in the 1980s,0.6751515151515153,0.8909090909090908
Countries with the highest number of Nobel Prize winners,1.0,1.0
Longest reigning monarchs of all time,0.6941936851027762,0.8186480186480188
Best-selling video game consoles of all time,0.8909090909090909,1.0
Tallest buildings in the world 2023,1.0,1.0
Most populated cities in the world in 2021,1.0,1.0
Countries with the highest CO2 emissions in 2013,0.9345454545454543,1.0
Highest mountains in the world,1.0,1.0
Most succesful football clubs in UEFA Champions League history measured by titles won,1.0,1.0
Countries with the most Olympic silver medals,0.8763636363636361,1.0
Richest companies in the world by market cap in 2021,0.8909090909090908,1.0
Most visited countries in 2019,1.0,1.0
Best-selling music artists of all time,1.0,1.0
Most watched TV shows in spain in 2017,0.31184330820694456,0.7139648230557324
Most popular programming languages in 2021,0.9404958677685953,0.9404958677685953
Most voted on politicians in Danish election 2015,0.34570459843187124,0.766730239457512
Countries with the highest annual military spending,1.0,1.0
Longest bridges in Italy,0.22048768225238816,0.393071752964801
Most common surnames in England by number of registered in 2021,0.9504132231404959,0.9669421487603308
Most spoken languages as mother tongue in USA,0.9636363636363636,1.0
Highest grossing movies in the 1990s,0.8363636363636363,1.0
Countries with the lowest military expenditures in 2020,0.36466253443526175,0.5812672176308541
Best-selling albums of all time,0.8664462809917355,0.9669421487603307
Most visited museums in the world,0.4780165289256198,0.8892561983471077
Most popular social media platforms in 2021,1.0,1.0
"Most expensive paintings ever sold, give only the titles",0.9060606060606063,0.9060606060606063
"Most translated books in the world, give only the titles",0.3641004450095358,0.5855356764447673
"Most viewed online videos in 2020, give only the titles",0.9074380165289259,0.9074380165289259
Best-selling smartphone brands in 2021,0.5877940241576606,0.7332485696122059
Countries with the highest alcohol consumption per capita in 2020,0.33368837935682855,0.5597440289953657
Most watched sports events in 2016,0.2286225895316804,0.42432941858779183
Highest waterfalls in the world,0.9206611570247936,0.9206611570247936
Contries with most railway in the world,1.0,1.0
Most populated countries in the world in 1950,0.9074380165289259,0.9074380165289259
Longest reigning popes in history,0.6673705082795993,0.6886991796082708
Most valuable brands in the world in 2021 by market value,1.0,1.0
Largest current living animal species by maximum weight,0.5303648846696974,0.7223591025730064
Countries with the most UNESCO World Heritage Sites,1.0,1.0
Most used search engines in 2021,0.8636363636363638,0.8909090909090908
Most given baby names in 2010,1.0,1.0
"highest paid actors for one movie, give actors names",0.7428571428571429,0.8129870129870131
Countries with the largest diamond production,1.0,1.0
Best-selling board games of all time,0.950413223140496,0.9669421487603307
Most followed Twitter accounts in 2022,0.6104132231404958,0.9008264462809918
Most streamed artists on Spotify in 2011,0.7320936639118458,0.8236914600550964
Countries with the highest HDI in 2020,0.8347107438016529,0.9669421487603307
Most valuable currencies in the world in 2021,0.9669421487603307,0.9669421487603307
"Highest paid film directors for one movie, give directors names",0.5591354100445008,0.7193473193473193
Most visited national parks the USA,1.0,1.0
Largest cities by area,0.9145454545454544,1.0
Countries with the largest gold reserves,1.0,1.0
Longest reigning British monarchs,0.8148760330578511,0.9074380165289259
Most subscribed YouTube channels in 2023,0.816694214876033,0.9008264462809918
Most Grand Slam winning female tennis players in history,0.9008264462809918,0.9008264462809918
Most densely populated countries in India,0.7854545454545455,0.8181818181818182
"Most awarded movies in Oscar history, give movie titles only",0.5955859292222929,0.7628311082856536
Largest empires in history by land area,0.8690909090909092,1.0
Longest novels ever published,0.5057533375715194,0.7551176096630643
