,SMC Mean,JAC Mean
most horrifying hurricanes in the USA in the 20th century,0.23530318166681805,0.42731813640904553
worst fashion trends in early 2000s pop culture,0.2558250083250083,0.47221112221112216
most terrible dictators in African history,0.4161157024793388,0.8049586776859505
worst technological failures in smartphone history,0.3240196167468895,0.6750340568522387
most horrifying crimes in 20th century Europe,0.06283577963144527,0.12428357676035695
worst video game launches in recent memory,0.3784022038567494,0.8115702479338843
most terrible pandemics before 1900,0.1801590299183881,0.5089100738833359
worst books written by famous authors,0.06896174087350558,0.22737986128079007
most horrifying diseases in medieval times,0.2874401356219538,0.578215723670269
worst TV show finales of the 2010s,0.43197711379529563,0.7143886416613691
most terrible airline disasters of the 21st century,0.16550623618805438,0.42042048860230674
worst sports injuries in Olympic history,0.07473727253139018,0.31244637715225937
most horrifying haunted houses in America,0.07490759240759241,0.20073260073260074
worst looking electric cars,0.23192595283504377,0.6014773105682196
most terrible marketing campaigns by major brands,0.09474130960199069,0.12649158546991363
worst albums released by iconic bands,0.08904987169693052,0.33271303859539136
most horrifying insects in the Amazon rainforest,0.2593951503042412,0.5693034238488784
worst restaurant experiences in New York City,0.20857027256759877,0.4377556193064214
most terrible business failures in tech startups,0.3583801047437411,0.7140859140859142
worst tourist traps in Europe,0.08791119011707245,0.2710369609750414
most horrifying ghost stories from Japan,0.07433349330408154,0.24544892671827653
worst celebrity scandals of the 2010s,0.09855876665474188,0.1997554561022053
most terrible movies based on Stephen King novels,0.19508703417794324,0.59637937819756
worst advertising slogans from global companies,0.007371079213184477,0.031937955405447666
most horrifying serial killers in American history,0.5049586776859504,0.9008264462809918
arlines with the worst reputation,0.38121121302939487,0.6594980776798958
most terrible environmental disasters caused by oil spills,0.40807949626131435,0.5993279447824904
worst historical events in the 19th century,0.4884297520661156,0.7796143250688703
most horrifying war crimes in World War II,0.25178143751673165,0.4093981182216476
most useless tech gadgets of the last decade,0.20980695774813424,0.315150535738771
most terrible TV show remakes of all time,1.0,1.0
Celebrities with the worst performances,0.16031840708311293,0.3458205193499311
"most horrifying survival stories from shipwrecks, only give titles",0.16623124350397075,0.44847137413982324
worst vacation destinations for families,0.04608215118839942,0.2017503121077565
"most terrible workplace environments in Silicon Valley, giv the companies",0.3065125249082469,0.6213415817693894
"worst architectural designs of famous buildings, give the buildings names",0.06952990593857467,0.1954459712973645
most horrifying plane crashes in aviation history,0.29380876699058506,0.4958677685950412
"most terrible theme park accidents in the USA, give the theme parks name",0.11789995803364786,0.35311948894836587
most influential writers of the 19th century,0.38099173553719007,0.9404958677685952
most picturesque villages in Europe,0.22599975781793963,0.6630339357612084
most famous classical music compositions,0.14437547301183662,0.32556534374716195
most iconic comic book characters,0.6528925619834709,0.8159779614325071
most influential current tech CEOs ,0.659669421487603,0.9404958677685952
most delicious street foods in Asia,0.14062244054222664,0.4186367108827001
"most memorable TV series finales, give the TV series name",0.4701101928374656,0.8380165289256201
most important environmentalists,0.4555838101292647,0.6819241364695908
most liked social media influencers,0.17997305724578447,0.509703932431205
most significant battles in world history,0.24451897384911736,0.47296053229067586
"most beloved movie soundtracks from the 20th century, give the movie titles",0.19248174285607436,0.4797108417429272
most fascinating conspiracy theories,0.09585187945869059,0.3090544989925794
most influential political leaders of the 20th century,0.354320830684467,0.6157660521296885
most renowned chefs in France,0.3255859292222928,0.7129052765416403
most breathtaking hiking trails in Europe,0.2523010323010323,0.5367783731420095
"most memorable Olympic moments, give the title of the event",0.10503388424441053,0.16217272579501676
most popular board games of all time,0.5880631489722398,0.7612205975842338
most influential activists for civil rights,0.38488027124390756,0.7457936003390551
most iconic toys from the 1980s,0.2777440741077104,0.708527835800563
"most significant architectural styles, give me the name of the style",0.29976145067054155,0.6576090576090577
most influential science fiction authors,0.5900826446280991,0.9107438016528928
most beautiful vacation destinations for families,0.1309662240220923,0.3351728844692537
most important works of modern art,0.08989400153275753,0.23323164600043297
most influential feminists,0.19273363000635726,0.6536614900251264
most loved mobile apps,0.3586289468107649,0.6838737020555203
most iconic hairstyles in history,0.11505706414797325,0.31200557893493447
most influential jazz musicians,0.7001652892561985,0.894214876033058
